Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
tr|E9QNA7|E9QNA7_MOUSE	E9QNA7	E9QNA7_MOUSE	Sorbs1	740	Mus musculus OX=10090	Sorbin and SH3 domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	12	0	12	41	0	41	     0	     0	     0	11K(28.0313), 12K(28.0313), 15K(28.0313), 17K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|E9QNL5|E9QNL5_MOUSE	E9QNL5	E9QNL5_MOUSE	Sult1a1	298	Mus musculus OX=10090	Sulfotransferase 	1:Experimental evidence at protein level	1.0000	0.9990	12	0	12	215	0	215	     0	     0	     0	10M(15.9949), 11K(28.0313), 12M(15.9949), 13K(28.0313), 16K(28.0313), 16M(15.9949), 17K(28.0313), 18K(28.0313), 19K(28.0313), 1K(28.0313), 26K(28.0313), 6M(15.9949), 7K(28.0313), N-term(28.0313)		
tr|E9QNN1|E9QNN1_MOUSE	E9QNN1	E9QNN1_MOUSE	Dhx9	1384	Mus musculus OX=10090	RNA helicase 	1:Experimental evidence at protein level	1.0000	0.9990	16	0	16	91	0	91	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 15K(28.0313), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
tr|E9QPD7|E9QPD7_MOUSE	E9QPD7	E9QPD7_MOUSE	Pcx	1179	Mus musculus OX=10090	Pyruvate carboxylase 	1:Experimental evidence at protein level	1.0000	0.9990	47	0	47	615	0	615	     0	     0	     0	10K(28.0313), 11K(28.0313), 13M(15.9949), 14K(28.0313), 15M(15.9949), 16K(28.0313), 16M(15.9949), 17K(28.0313), 18K(28.0313), 22K(28.0313), 24K(28.0313), 2M(15.9949), 38K(28.0313), 4M(15.9949), 5M(15.9949), 7K(28.0313), 7M(15.9949), 8M(15.9949), 9M(15.9949), N-term(28.0313)		tr|G5E8R3|G5E8R3_MOUSE
tr|E9QPX3|E9QPX3_MOUSE	E9QPX3	E9QPX3_MOUSE	Ndufs4	175	Mus musculus OX=10090	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	43	0	43	     0	     0	     0	10K(28.0313), 11K(28.0313), 15K(28.0313), 3M(15.9949), 9K(28.0313), N-term(28.0313)		
tr|F2Z3U3|F2Z3U3_MOUSE	F2Z3U3	F2Z3U3_MOUSE	Raph1	1266	Mus musculus OX=10090	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	2	5	6	3	6	     0	     0	     0	11K(28.0313), 12K(28.0313), 14K(28.0313), 16K(28.0313), N-term(28.0313)		
tr|F6RWR5|F6RWR5_MOUSE	F6RWR5	F6RWR5_MOUSE	Gstp3	210	Mus musculus OX=10090	Glutathione S-transferase 	1:Experimental evidence at protein level	1.0000	0.9935	1	0	1	6	0	6	     0	     0	     0	15K(28.0313), N-term(28.0313)		tr|Q8VC73|Q8VC73_MOUSE
tr|F7BJK1|F7BJK1_MOUSE	F7BJK1	F7BJK1_MOUSE	Pcdh1	1077	Mus musculus OX=10090	Protocadherin 1 (Fragment) 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	8	5	8	     0	     0	     0	13K(28.0313), 27K(28.0313), N-term(28.0313)		
tr|F7D3W5|F7D3W5_MOUSE	F7D3W5	F7D3W5_MOUSE	Gm45837	961	Mus musculus OX=10090	Phosphodiesterase 	1:Experimental evidence at protein level	1.0000	0.9976	2	0	2	4	0	4	     0	     0	     0	17K(28.0313), N-term(28.0313)		
tr|F7DBQ0|F7DBQ0_MOUSE	F7DBQ0	F7DBQ0_MOUSE	Pdia6	440	Mus musculus OX=10090	Protein disulfide-isomerase A6 	1:Experimental evidence at protein level	1.0000	0.9990	13	0	13	162	0	162	     0	     0	     0	12K(28.0313), 14K(28.0313), 17K(28.0313), 22K(28.0313), 24K(28.0313), 2K(28.0313), 8K(28.0313), 8M(15.9949), 9K(28.0313), N-term(28.0313)		tr|Q3TML0|Q3TML0_MOUSE
tr|F8VPN4|F8VPN4_MOUSE	F8VPN4	F8VPN4_MOUSE	Agl	1532	Mus musculus OX=10090	Glycogen debranching enzyme 	1:Experimental evidence at protein level	1.0000	0.9990	41	0	41	264	0	264	     0	     0	     0	10K(28.0313), 11K(28.0313), 11M(15.9949), 12K(28.0313), 13K(28.0313), 14K(28.0313), 19K(28.0313), 1M(15.9949), 2M(15.9949), 5M(15.9949), 6M(15.9949), 7K(28.0313), 7M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|F8VQC1|F8VQC1_MOUSE	F8VQC1	F8VQC1_MOUSE	Srp72	671	Mus musculus OX=10090	Signal recognition particle subunit SRP72 	1:Experimental evidence at protein level	1.0000	0.9990	13	1	13	67	5	67	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 17K(28.0313), 20K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|F8VQJ3|F8VQJ3_MOUSE	F8VQJ3	F8VQJ3_MOUSE	Lamc1	1607	Mus musculus OX=10090	Laminin subunit gamma-1 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	11	1	11	     0	     0	     0	17K(28.0313), N-term(28.0313)		
tr|F8WID5|F8WID5_MOUSE	F8WID5	F8WID5_MOUSE	Tpm1	326	Mus musculus OX=10090	Tropomyosin alpha-1 chain 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	27	0	27	     0	     0	     0	14K(28.0313), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|F8WIT2|F8WIT2_MOUSE	F8WIT2	F8WIT2_MOUSE	Anxa6	667	Mus musculus OX=10090	Annexin 	1:Experimental evidence at protein level	1.0000	0.9990	31	1	31	250	13	250	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 15K(28.0313), 15M(15.9949), 16K(28.0313), 18K(28.0313), 1M(15.9949), 22M(15.9949), 23K(28.0313), 25K(28.0313), 2M(15.9949), 5M(15.9949), 6M(15.9949), 7K(28.0313), 7M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|G3UW82|G3UW82_MOUSE	G3UW82	G3UW82_MOUSE	Myh2	1942	Mus musculus OX=10090	Myosin, heavy polypeptide 2, skeletal muscle, adult 	1:Experimental evidence at protein level	1.0000	0.9927	2	2	2	2	2	2	     0	     0	     0	15K(28.0313), 16K(28.0313), N-term(28.0313)		
tr|G3UXW9|G3UXW9_MOUSE	G3UXW9	G3UXW9_MOUSE	Gps1	526	Mus musculus OX=10090	COP9 signalosome complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	1	5	27	5	27	     0	     0	     0	6M(15.9949), N-term(28.0313)		
tr|G3UY75|G3UY75_MOUSE	G3UY75	G3UY75_MOUSE	Ptprd	1890	Mus musculus OX=10090	Protein-tyrosine-phosphatase 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	6	21	5	21	     0	     0	     0	14K(28.0313), 16K(28.0313), N-term(28.0313)		
tr|G3UYQ2|G3UYQ2_MOUSE	G3UYQ2	G3UYQ2_MOUSE	Bag6	1082	Mus musculus OX=10090	Large proline-rich protein BAG6 	1:Experimental evidence at protein level	1.0000	0.9988	5	0	5	10	0	10	     0	     0	     0	9K(28.0313), N-term(28.0313)		tr|G3UZT6|G3UZT6_MOUSE, tr|Q3UF95|Q3UF95_MOUSE
tr|G3X8Q5|G3X8Q5_MOUSE	G3X8Q5	G3X8Q5_MOUSE	Cp	1085	Mus musculus OX=10090	Ceruloplasmin 	1:Experimental evidence at protein level	1.0000	0.9990	18	0	18	86	0	86	     0	     0	     0	10K(28.0313), 10M(15.9949), 11K(28.0313), 13K(28.0313), 1M(15.9949), 20K(28.0313), 21K(28.0313), 23K(28.0313), 6M(15.9949), 8K(28.0313), N-term(28.0313)		tr|G3X9T8|G3X9T8_MOUSE
tr|G3X8Q9|G3X8Q9_MOUSE	G3X8Q9	G3X8Q9_MOUSE	Cyp2b10	500	Mus musculus OX=10090	Cytochrome P450 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	8	0	8	     0	     0	     0	6M(15.9949), 8K(28.0313), N-term(28.0313)		tr|Q9WUD0|Q9WUD0_MOUSE
tr|G3X8R0|G3X8R0_MOUSE	G3X8R0	G3X8R0_MOUSE	Reep5	189	Mus musculus OX=10090	Receptor expression-enhancing protein 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	12	0	12	     0	     0	     0	10K(28.0313), 7K(28.0313), 8K(28.0313), N-term(28.0313)		
tr|G3X972|G3X972_MOUSE	G3X972	G3X972_MOUSE	Sec24c	1096	Mus musculus OX=10090	Sec24-related gene family, member C (S. cerevisiae) 	1:Experimental evidence at protein level	1.0000	0.9990	9	1	9	33	5	33	     0	     0	     0	14K(28.0313), 15K(28.0313), 16K(28.0313), 18K(28.0313), N-term(28.0313)		
tr|G3X9R9|G3X9R9_MOUSE	G3X9R9	G3X9R9_MOUSE	Gpr182	398	Mus musculus OX=10090	G-protein-coupled receptor 182 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	8	4	8	     0	     0	     0	N-term(28.0313)		
tr|G3X9Y6|G3X9Y6_MOUSE	G3X9Y6	G3X9Y6_MOUSE	Akr1c19	323	Mus musculus OX=10090	Aldo-keto reductase family 1, member C19 	1:Experimental evidence at protein level	1.0000	0.9990	7	6	7	85	62	85	     0	     0	     0	10K(28.0313), 15M(15.9949), 16K(28.0313), 18M(15.9949), 19K(28.0313), 24K(28.0313), N-term(28.0313)		
tr|G5E8R8|G5E8R8_MOUSE	G5E8R8	G5E8R8_MOUSE	Ubxn7	489	Mus musculus OX=10090	UBX domain-containing protein 7 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	4	2	4	     0	     0	     0	14K(28.0313), 15K(28.0313), N-term(28.0313)		
tr|J3QN89|J3QN89_MOUSE	J3QN89	J3QN89_MOUSE	Aamp	436	Mus musculus OX=10090	Angio-associated migratory protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	7	0	7	     0	     0	     0	13K(28.0313), N-term(28.0313)		tr|Q3TJ22|Q3TJ22_MOUSE
tr|K7N6C2|K7N6C2_MOUSE	K7N6C2	K7N6C2_MOUSE	Cyp2c68	491	Mus musculus OX=10090	Cytochrome P450, family 2, subfamily c, polypeptide 68 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	21	13	21	     0	     0	     0	21M(15.9949), 22K(28.0313), N-term(28.0313)		
tr|K9J7B2|K9J7B2_MOUSE	K9J7B2	K9J7B2_MOUSE	Ugt1a6b	531	Mus musculus OX=10090	UDP-glucuronosyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	26	26	26	     0	     0	     0	10K(28.0313), 10M(15.9949), 19K(28.0313), N-term(28.0313)		
tr|O08797|O08797_MOUSE	O08797	O08797_MOUSE	Serpinb9	374	Mus musculus OX=10090	SPI6 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	18	14	18	     0	     0	     0	10K(28.0313), 11K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|O88325|O88325_MOUSE	O88325	O88325_MOUSE	Naglu	739	Mus musculus OX=10090	Alpha-N-acetylglucosaminidase 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	22	22	22	     0	     0	     0	11K(28.0313), 13K(28.0313), N-term(28.0313)		
tr|Q3KQQ2|Q3KQQ2_MOUSE	Q3KQQ2	Q3KQQ2_MOUSE	Mup3	184	Mus musculus OX=10090	Major urinary protein 25 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	15	0	15	     0	     0	     0	9K(28.0313), N-term(28.0313)		
tr|Q3TGG2|Q3TGG2_MOUSE	Q3TGG2	Q3TGG2_MOUSE	Atxn2l	994	Mus musculus OX=10090	Ataxin-2-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	12	2	12	44	13	44	     0	     0	     0	10K(28.0313), 16K(28.0313), 18K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|Q3U2G2|Q3U2G2_MOUSE	Q3U2G2	Q3U2G2_MOUSE	Hspa4	842	Mus musculus OX=10090	Heat shock 70 kDa protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	29	2	29	255	20	255	     0	     0	     0	10K(28.0313), 10M(15.9949), 11K(28.0313), 12K(28.0313), 13K(28.0313), 14K(28.0313), 15K(28.0313), 17K(28.0313), 18K(28.0313), 1M(15.9949), 24K(28.0313), 2M(15.9949), 34K(28.0313), 4M(15.9949), 6M(15.9949), 7K(28.0313), 8K(28.0313), 8M(15.9949), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
tr|Q3U3J1|Q3U3J1_MOUSE	Q3U3J1	Q3U3J1_MOUSE	Bckdha	446	Mus musculus OX=10090	2-oxoisovalerate dehydrogenase subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	15	1	15	129	17	129	     0	     0	     0	10K(28.0313), 14K(28.0313), 15K(28.0313), 16K(28.0313), 20K(28.0313), 24K(28.0313), 2M(15.9949), 5M(15.9949), 8M(15.9949), N-term(28.0313)		
tr|Q3U422|Q3U422_MOUSE	Q3U422	Q3U422_MOUSE	Ndufv3	468	Mus musculus OX=10090	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	22	11	22	     0	     0	     0	11K(28.0313), 17K(28.0313), N-term(28.0313)		
tr|Q3UED7|Q3UED7_MOUSE	Q3UED7	Q3UED7_MOUSE	Gm4951	406	Mus musculus OX=10090	Interferon-gamma-inducible GTPase Ifgga2 protein 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	16	16	16	     0	     0	     0	17K(28.0313), 19K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|Q3UEP4|Q3UEP4_MOUSE	Q3UEP4	Q3UEP4_MOUSE	Ugt2b36	530	Mus musculus OX=10090	UDP-glucuronosyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	12	3	12	124	49	124	     0	     0	     0	14K(28.0313), 14M(15.9949), 15K(28.0313), 15M(15.9949), 16K(28.0313), 17K(28.0313), 18K(28.0313), 21M(15.9949), 23M(15.9949), 26K(28.0313), 3M(15.9949), 4M(15.9949), 9K(28.0313), N-term(28.0313)		
tr|Q3UJB0|Q3UJB0_MOUSE	Q3UJB0	Q3UJB0_MOUSE	Sf3b2	878	Mus musculus OX=10090	Splicing factor 3b, subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	15	7	15	63	24	63	     0	     0	     0	10K(28.0313), 13K(28.0313), 14K(28.0313), 19K(28.0313), 1K(28.0313), 20K(28.0313), 4K(28.0313), 5M(15.9949), 8K(28.0313), N-term(28.0313)		
tr|Q3ULB0|Q3ULB0_MOUSE	Q3ULB0	Q3ULB0_MOUSE	Rbm6	986	Mus musculus OX=10090	RNA-binding motif protein 6 	1:Experimental evidence at protein level	1.0000	0.9989	2	0	2	10	0	10	     0	     0	     0	9K(28.0313), N-term(28.0313)		tr|S4R1W5|S4R1W5_MOUSE
tr|Q3V2R3|Q3V2R3_MOUSE	Q3V2R3	Q3V2R3_MOUSE	Chn2	468	Mus musculus OX=10090	Chimaerin 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	2	1	2	     0	     0	     0	N-term(28.0313)		
tr|Q4VWZ5|Q4VWZ5_MOUSE	Q4VWZ5	Q4VWZ5_MOUSE	Dbi	135	Mus musculus OX=10090	Acyl-CoA-binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	6	296	1	296	     0	     0	     0	16K(28.0313), 18K(28.0313), 2K(28.0313), 8K(28.0313), 8M(15.9949), N-term(28.0313)		
tr|Q569X9|Q569X9_MOUSE	Q569X9	Q569X9_MOUSE	Cyp2c67	491	Mus musculus OX=10090	Cytochrome P450, family 2, subfamily c, polypeptide 67 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	10	10	10	     0	     0	     0	N-term(28.0313)		
tr|Q5RKN9|Q5RKN9_MOUSE	Q5RKN9	Q5RKN9_MOUSE	Capza1	286	Mus musculus OX=10090	F-actin-capping protein subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	7	1	7	45	5	45	     0	     0	     0	12M(15.9949), 15K(28.0313), 16K(28.0313), 19K(28.0313), 26K(28.0313), N-term(28.0313)		
tr|Q5SUH7|Q5SUH7_MOUSE	Q5SUH7	Q5SUH7_MOUSE	Clint1	623	Mus musculus OX=10090	Clathrin interactor 1 	1:Experimental evidence at protein level	1.0000	0.9990	12	0	12	63	0	63	     0	     0	     0	11K(28.0313), 12K(28.0313), 13K(28.0313), 14K(28.0313), 17K(28.0313), 20K(28.0313), 6M(15.9949), 9K(28.0313), N-term(28.0313)		
tr|Q61635|Q61635_MOUSE	Q61635	Q61635_MOUSE	Ifi47	420	Mus musculus OX=10090	GTP-binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	8	3	8	43	9	43	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 15K(28.0313), 16K(28.0313), 4M(15.9949), N-term(28.0313)		
tr|Q68FG2|Q68FG2_MOUSE	Q68FG2	Q68FG2_MOUSE	Sptbn2	2388	Mus musculus OX=10090	Spectrin beta chain 	1:Experimental evidence at protein level	1.0000	0.9990	40	38	40	150	144	150	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 13K(28.0313), 14K(28.0313), 15K(28.0313), 18M(15.9949), 1M(15.9949), 20K(28.0313), 25K(28.0313), 6M(15.9949), 8M(15.9949), 9K(28.0313), N-term(28.0313)		
tr|Q6DFZ1|Q6DFZ1_MOUSE	Q6DFZ1	Q6DFZ1_MOUSE	Gbf1	1861	Mus musculus OX=10090	Golgi-specific brefeldin A-resistance factor 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	6	8	20	14	20	     0	     0	     0	10K(28.0313), 13M(15.9949), 14K(28.0313), 17K(28.0313), 8K(28.0313), N-term(28.0313)		
tr|Q6GT24|Q6GT24_MOUSE	Q6GT24	Q6GT24_MOUSE	Prdx6	224	Mus musculus OX=10090	Peroxiredoxin-6 	1:Experimental evidence at protein level	1.0000	0.9990	14	0	14	363	0	363	     0	     0	     0	11K(28.0313), 13K(28.0313), 14K(28.0313), 16K(28.0313), 17K(28.0313), 5M(15.9949), 7K(28.0313), 8M(15.9949), 9K(28.0313), N-term(28.0313)		
tr|Q6NXL1|Q6NXL1_MOUSE	Q6NXL1	Q6NXL1_MOUSE	Sec24d	1032	Mus musculus OX=10090	Sec24-related gene family, member D (S. cerevisiae) 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	37	37	37	     0	     0	     0	11K(28.0313), 15K(28.0313), 16K(28.0313), 1K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|Q6XLQ8|Q6XLQ8_MOUSE	Q6XLQ8	Q6XLQ8_MOUSE	Calu	315	Mus musculus OX=10090	Calumenin 	1:Experimental evidence at protein level	1.0000	0.9990	10	1	10	82	3	82	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 15M(15.9949), 16K(28.0313), 22K(28.0313), 8M(15.9949), N-term(28.0313)		
tr|Q6ZWZ4|Q6ZWZ4_MOUSE	Q6ZWZ4	Q6ZWZ4_MOUSE	Rpl36	105	Mus musculus OX=10090	60S ribosomal protein L36 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	7	7	7	     0	     0	     0	10M(15.9949), N-term(28.0313)		
tr|Q7TNL5|Q7TNL5_MOUSE	Q7TNL5	Q7TNL5_MOUSE	Ppp2r5d	595	Mus musculus OX=10090	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	5	0	5	     0	     0	     0	11K(28.0313), 14K(28.0313), 23K(28.0313), N-term(28.0313)		tr|Q91V89|Q91V89_MOUSE
tr|Q80ZX0|Q80ZX0_MOUSE	Q80ZX0	Q80ZX0_MOUSE	Sec24b	1251	Mus musculus OX=10090	Sec24-related gene family, member B (S. cerevisiae) 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	5	5	5	     0	     0	     0	N-term(28.0313)		
tr|Q8BGJ5|Q8BGJ5_MOUSE	Q8BGJ5	Q8BGJ5_MOUSE	Ptbp1	529	Mus musculus OX=10090	Polypyrimidine tract-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	50	0	50	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 19K(28.0313), 20K(28.0313), 21K(28.0313), N-term(28.0313)		tr|Q922I7|Q922I7_MOUSE
tr|Q8BJL9|Q8BJL9_MOUSE	Q8BJL9	Q8BJL9_MOUSE	Ugt2b35	529	Mus musculus OX=10090	UDP-glucuronosyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	21	21	21	     0	     0	     0	9K(28.0313), N-term(28.0313)		
tr|Q8BVQ9|Q8BVQ9_MOUSE	Q8BVQ9	Q8BVQ9_MOUSE	Psmc2	475	Mus musculus OX=10090	26S proteasome regulatory subunit 7 	1:Experimental evidence at protein level	1.0000	0.9990	14	1	14	101	1	101	     0	     0	     0	10K(28.0313), 10M(15.9949), 11K(28.0313), 12K(28.0313), 13K(28.0313), 16M(15.9949), 18K(28.0313), 18M(15.9949), 2M(15.9949), 3M(15.9949), 7M(15.9949), 8M(15.9949), 9K(28.0313), N-term(28.0313)		
tr|Q8C178|Q8C178_MOUSE	Q8C178	Q8C178_MOUSE	Acox3	697	Mus musculus OX=10090	Acyl-coenzyme A oxidase 	1:Experimental evidence at protein level	1.0000	0.9990	7	1	7	15	1	15	     0	     0	     0	10K(28.0313), 15K(28.0313), 23K(28.0313), 8K(28.0313), N-term(28.0313)		
tr|Q8C6B0|Q8C6B0_MOUSE	Q8C6B0	Q8C6B0_MOUSE	Mettl7a1	244	Mus musculus OX=10090	Methyltransferase-like 7A1 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	74	0	74	     0	     0	     0	12K(28.0313), 13K(28.0313), 15K(28.0313), 4M(15.9949), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
tr|Q8C7I4|Q8C7I4_MOUSE	Q8C7I4	Q8C7I4_MOUSE	Apol9b	310	Mus musculus OX=10090	Apolipoprotein L 9b 	2:Experimental evidence at transcript level	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0	19K(28.0313), 9K(28.0313), N-term(28.0313)		tr|Q8VDU3|Q8VDU3_MOUSE
tr|Q8C845|Q8C845_MOUSE	Q8C845	Q8C845_MOUSE	Efhd2	240	Mus musculus OX=10090	EF-hand domain-containing protein D2 	1:Experimental evidence at protein level	1.0000	0.9990	9	1	9	59	11	59	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 13K(28.0313), 2M(15.9949), 9K(28.0313), N-term(28.0313)		
tr|Q8CGB9|Q8CGB9_MOUSE	Q8CGB9	Q8CGB9_MOUSE	Ide	1019	Mus musculus OX=10090	Insulin-degrading enzyme 	1:Experimental evidence at protein level	1.0000	0.9990	17	1	17	77	5	77	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 13K(28.0313), 15K(28.0313), 16K(28.0313), 1K(28.0313), 21K(28.0313), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|Q8K154|Q8K154_MOUSE	Q8K154	Q8K154_MOUSE	Ugt2b34	532	Mus musculus OX=10090	UDP-glucuronosyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	10	1	10	95	10	95	     0	     0	     0	12K(28.0313), 14K(28.0313), 16K(28.0313), 1K(28.0313), 6M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|Q8K3M1|Q8K3M1_MOUSE	Q8K3M1	Q8K3M1_MOUSE	Rdh16f2	318	Mus musculus OX=10090	Cis-retinol/3alpha hydroxysterol short-chain dehydrogenase-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	21	21	21	     0	     0	     0	12K(28.0313), 1K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|Q8K5C8|Q8K5C8_MOUSE	Q8K5C8	Q8K5C8_MOUSE	Rdh9	317	Mus musculus OX=10090	Cis-retinol/androgen dehydrogenase type 3 	2:Experimental evidence at transcript level	1.0000	0.9990	5	0	5	31	0	31	     0	     0	     0	12K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|Q8R084|Q8R084_MOUSE	Q8R084	Q8R084_MOUSE	Ugt2b1	529	Mus musculus OX=10090	UDP-glucuronosyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	11	9	11	151	120	151	     0	     0	     0	14K(28.0313), 14M(15.9949), 15K(28.0313), 16K(28.0313), 1K(28.0313), 23M(15.9949), 6M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|Q8R2K3|Q8R2K3_MOUSE	Q8R2K3	Q8R2K3_MOUSE	Ssbp1	148	Mus musculus OX=10090	Single-stranded DNA-binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	27	7	27	     0	     0	     0	15K(28.0313), 18K(28.0313), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
tr|Q8R5L1|Q8R5L1_MOUSE	Q8R5L1	Q8R5L1_MOUSE	C1qbp	279	Mus musculus OX=10090	Complement component 1 Q subcomponent-binding protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	75	21	75	     0	     0	     0	11K(28.0313), 15K(28.0313), 1M(15.9949), 20K(28.0313), N-term(28.0313)		
tr|Q8VC77|Q8VC77_MOUSE	Q8VC77	Q8VC77_MOUSE	Akr1c20	323	Mus musculus OX=10090	Akr1c20 protein 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	22	6	22	     0	     0	     0	16K(28.0313), N-term(28.0313)		
tr|Q8VCA4|Q8VCA4_MOUSE	Q8VCA4	Q8VCA4_MOUSE	Cyp4f15	527	Mus musculus OX=10090	Cyp4f15 protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	6	0	6	     0	     0	     0	9K(28.0313), N-term(28.0313)		tr|Q99N18|Q99N18_MOUSE
tr|Q8VHM5|Q8VHM5_MOUSE	Q8VHM5	Q8VHM5_MOUSE	Hnrnpr	632	Mus musculus OX=10090	Heterogeneous nuclear ribonucleoprotein R 	1:Experimental evidence at protein level	1.0000	0.9990	10	0	10	34	0	34	     0	     0	     0	10K(28.0313), 13K(28.0313), 15K(28.0313), 17K(28.0313), 18K(28.0313), 25K(28.0313), 9K(28.0313), N-term(28.0313)		
tr|Q91VA7|Q91VA7_MOUSE	Q91VA7	Q91VA7_MOUSE	Idh3b	384	Mus musculus OX=10090	Isocitrate dehydrogenase [NAD] subunit, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	7	47	0	47	     0	     0	     0	10M(15.9949), 11K(28.0313), 13K(28.0313), 15K(28.0313), 16K(28.0313), 2M(15.9949), N-term(28.0313)		
tr|Q91VB8|Q91VB8_MOUSE	Q91VB8	Q91VB8_MOUSE	Hba-a1	142	Mus musculus OX=10090	Alpha globin 1 	1:Experimental evidence at protein level	1.0000	0.9990	9	1	9	982	61	982	     0	     0	     0	12K(28.0313), 16K(28.0313), 1M(15.9949), 20K(28.0313), 29K(28.0313), 5K(28.0313), 7K(28.0313), 9K(28.0313), N-term(28.0313)		
